label,Item_Group,Gemma,Llama,Mistral,Phi
ADD,25 items,0.2,0.0,0.0,0.2
ADD,50 items,0.4,0.6,0.0,0.0
ADD,75 items,9.0,0.0,0.0,0.2
APP,25 items,1.2,0.0,2.6,2.1999999999999997
APP,50 items,5.800000000000001,0.0,0.0,2.8000000000000003
APP,75 items,1.7999999999999998,0.0,0.0,5.0
Ave,25 items,74.2,21.4,67.4,97.39999999999999
Ave,50 items,83.6,40.6,86.4,98.6
Ave,75 items,79.2,73.8,78.4,94.39999999999999
Div,25 items,26.8,14.799999999999999,11.200000000000001,28.000000000000004
Div,50 items,23.200000000000003,13.0,35.8,30.4
Div,75 items,26.0,5.6000000000000005,63.800000000000004,46.2
MPL,25 items,9.0,1.0,0.2,8.6
MPL,50 items,7.199999999999999,2.4,1.0,0.8
MPL,75 items,5.6000000000000005,1.6,19.6,3.0
Other,25 items,0.4,0.2,7.000000000000001,0.0
Other,50 items,0.2,0.4,3.4000000000000004,0.0
Other,75 items,0.2,0.4,0.6,0.0
Pop,25 items,23.799999999999997,76.2,24.6,2.1999999999999997
Pop,50 items,15.8,55.800000000000004,10.2,1.4000000000000001
Pop,75 items,18.0,23.0,21.6,6.4
Sim,25 items,4.8,26.200000000000003,1.4000000000000001,0.2
Sim,50 items,0.6,43.2,4.8,0.2
Sim,75 items,1.2,74.8,0.0,0.8
