Model,Strategy,Avg_NDCG_Similar,Avg_NDCG_Dissimilar,Avg_NDCG_Neutral,Delta_Similar,Delta_Dissimilar,Delta_groups
Gemma,ADD,0.7529991044509803,0.6883387841734312,0.7230809411314028,0.02991816331957753,-0.03474215695797156,0.06466032027754909
Gemma,APP,0.6353688342949517,0.6661937226471211,0.6408318870957559,-0.005463052800804169,0.025361835551365175,-0.030824888352169344
Gemma,LMS,0.6399559462481965,0.5317329387267021,0.5746514180778854,0.06530452817031107,-0.042918479351183314,0.10822300752149439
Gemma,MPL,0.706732862580261,0.714281408434854,0.7242350626609962,-0.01750220008073522,-0.00995365422614225,-0.0075485458545929696
Llama,ADD,0.7529012078009664,0.7682362769138716,0.7739803569111727,-0.021079149110206363,-0.005744079997301088,-0.015335069112905275
Llama,APP,0.6621134164011817,0.6706450681491345,0.6978108220730257,-0.035697405671843985,-0.0271657539238912,-0.008531651747952784
Llama,LMS,0.641605539226106,0.6455299704044564,0.6870364684144367,-0.04543092918833069,-0.0415064980099803,-0.003924431178350396
Llama,MPL,0.7025084725239645,0.6556691905328538,0.6966907983427303,0.005817674181234245,-0.041021607809876515,0.04683928199111076
Mistral,ADD,0.7112988466755124,0.7362678357640315,0.7526544173695154,-0.041355570694003085,-0.016386581605483896,-0.02496898908851919
Mistral,APP,0.6495283769876726,0.6830623692853657,0.6962369671447968,-0.04670859015712414,-0.013174597859431092,-0.03353399229769305
Mistral,LMS,0.66848251580546,0.6326162550768453,0.6418474788255703,0.02663503697988978,-0.009231223748724982,0.03586626072861476
Mistral,MPL,0.6103766231227774,0.6569685134300666,0.6766619591111296,-0.06628533598835218,-0.019693445681063015,-0.04659189030728916
Phi,ADD,0.8291913416245217,0.8025643074004044,0.8014885392908647,0.027702802333656962,0.0010757681095396876,0.026627034224117274
Phi,APP,0.7481322365357829,0.7224077189092949,0.7192964810205171,0.028835755515265737,0.0031112378887777625,0.025724517626487975
Phi,LMS,0.695096128291426,0.6343750788000808,0.6943341511883923,0.0007619771030337175,-0.05995907238831144,0.06072104949134516
Phi,MPL,0.788153487295622,0.7778684138537839,0.7733398922760772,0.014813595019544712,0.004528521577706668,0.010285073441838044
Random,ADD,0.435999245977405,0.4053484917988093,0.39561960845556154,0.04037963752184348,0.00972888334324773,0.03065075417859575
Random,APP,0.42414975621525375,0.43184718807007166,0.38099144800853857,0.04315830820671518,0.050855740061533095,-0.0076974318548179155
Random,LMS,0.43467308702500473,0.40268469981050076,0.43137357824469486,0.003299508780309879,-0.0286888784341941,0.03198838721450398
Random,MPL,0.4532231718676532,0.38861328982681337,0.4142438845125934,0.03897928735505979,-0.02563059468578005,0.06460988204083984
