groupId,group_size,vector_llama,vector_mistral,vector_gemma,vector_phi,vector_ADD,vector_MPL,vector_LMS,vector_APP,vector_random
4001,4,"[72164, 6106, 42620, 49406, 89381, 46512, 85860, 64794, 49898, 99402]","[72164, 89381, 5602, 85860, 59553, 94563, 80477, 81854, 65030, 58878]","[72164, 81854, 65030, 13441, 59553, 89128, 94563, 85860, 5602, 11579]","[72164, 81854, 91163, 87991, 49406, 89381, 65030, 94563, 46512, 13441]","[72164, 13441, 89381, 6106, 18358, 94563, 64950, 65030, 81854, 49406]","[13441, 6106, 34723, 81854, 72164, 85860, 32029, 89128, 59553, 91163]","[72164, 13441, 89381, 49406, 6106, 18358, 64950, 94563, 42619, 65030]","[6106, 89381, 32029, 91163, 18358, 72164, 54615, 57669, 34723, 89128]","[18358, 32029, 87991, 99402, 11579, 72164, 80477, 49898, 63796, 92785]"
4002,4,"[49406, 46512, 34723, 99402, 49898, 80477, 83047, 64794, 89128, 57669]","[25043, 89128, 64794, 99402, 49898, 65030, 58878, 5602, 11579, 80477]","[58878, 5602, 49898, 22311, 49406, 91163, 34723, 89128, 65030, 99402]","[57669, 22311, 47631, 49898, 58878, 49406, 34723, 91571, 99402, 65030]","[21506, 99402, 65030, 58878, 34723, 5602, 57669, 49898, 89128, 10880]","[34723, 5602, 21506, 49898, 80477, 91163, 22311, 58878, 57669, 47631]","[21506, 99402, 65030, 80477, 92785, 42619, 42620, 59553, 38612, 91571]","[21506, 57669, 5602, 58878, 65030, 99402, 34723, 46512, 64794, 10880]","[5602, 25058, 6106, 42620, 95975, 65030, 89381, 11579, 64950, 46512]"
4004,4,"[64794, 89381, 6106, 46512, 80477, 85860, 54615, 42620, 25058, 57669]","[5602, 89381, 47631, 25058, 58878, 80477, 85860, 64794, 31406, 83047]","[64794, 80477, 5602, 85860, 6106, 46512, 38612, 91571, 54615, 31406]","[25058, 47631, 64794, 87991, 89381, 46435, 38612, 46512, 80477, 5602]","[85860, 38612, 89128, 6106, 95975, 54615, 46512, 87991, 32029, 46435]","[6106, 64794, 21506, 5602, 91571, 25058, 32029, 80477, 89381, 94563]","[85860, 38612, 46512, 89128, 95975, 10880, 32029, 87991, 83047, 54615]","[85860, 6106, 38612, 89128, 87991, 21506, 25058, 80477, 49898, 46512]","[72164, 95975, 47631, 21506, 81854, 98107, 15353, 54615, 5602, 86912]"
4005,4,"[17128, 10880, 32029, 42620, 64794, 91163, 89381, 89128, 80477, 85860]","[31406, 91163, 80477, 5602, 6106, 64950, 85860, 59553, 94563, 83047]","[80477, 31406, 5602, 85860, 89128, 11579, 64950, 25043, 91163, 65030]","[80477, 64794, 91163, 49406, 86912, 10880, 32029, 91571, 5602, 58878]","[31406, 11579, 64794, 80477, 32029, 91163, 94563, 5602, 85860, 10880]","[80477, 17128, 64794, 10880, 94563, 6106, 91163, 32029, 11579, 54615]","[31406, 11579, 64794, 6106, 99402, 32029, 94563, 17128, 80477, 89128]","[64794, 31406, 11579, 80477, 5602, 10880, 38612, 25043, 85860, 91163]","[22311, 13441, 38612, 47631, 95975, 46512, 32029, 91163, 80477, 63796]"
4006,4,"[49406, 87991, 15353, 42620, 91163, 46512, 34723, 99402, 54615, 83047]","[5602, 85315, 94563, 58878, 59553, 6106, 34723, 64950, 99402, 13441]","[85860, 46512, 31406, 11579, 58878, 5602, 46435, 64950, 99402, 80477]","[95975, 42620, 63796, 65030, 49898, 91571, 18358, 86912, 34723, 29785]","[54615, 6106, 87991, 17128, 85315, 46512, 31406, 58878, 94563, 15353]","[95975, 6106, 31406, 92785, 72164, 58878, 46435, 94563, 85315, 46512]","[54615, 15353, 17128, 99402, 58878, 87991, 25043, 49406, 94563, 13441]","[54615, 85315, 87991, 17128, 94563, 32029, 6106, 42619, 31406, 46435]","[17128, 47631, 15353, 31406, 6106, 58878, 89128, 85860, 92785, 46512]"
4007,4,"[42620, 49406, 57669, 54615, 72164, 91571, 18358, 6106, 46512, 80477]","[21506, 98107, 47631, 57669, 54615, 72164, 91571, 18358, 64794, 6106]","[54615, 58878, 6106, 91571, 49406, 11579, 80477, 46512, 25058, 5602]","[91571, 18358, 57669, 72164, 87991, 47631, 49406, 54615, 80477, 58878]","[6106, 91571, 18358, 21506, 80477, 57669, 58878, 10880, 54615, 72164]","[92785, 64794, 91163, 58878, 94563, 29785, 98107, 15353, 80477, 65030]","[6106, 72164, 18358, 57669, 21506, 91571, 46512, 80477, 92785, 42620]","[6106, 21506, 91571, 72164, 58878, 54615, 10880, 46435, 46512, 18358]","[34723, 17128, 10880, 98107, 59553, 6106, 81854, 24927, 65030, 32029]"
4008,4,"[22311, 99402, 49898, 64794, 89381, 42619, 64950, 85860, 59553, 57669]","[98107, 24927, 57669, 32029, 47631, 22311, 91571, 63796, 89381, 42619]","[22311, 99402, 65030, 58878, 59553, 94563, 64950, 91571, 85315, 87991]","[99402, 57669, 22311, 47631, 91571, 63796, 64950, 87991, 98107, 86912]","[22311, 57669, 63796, 99402, 65030, 64950, 98107, 94563, 91571, 95975]","[34723, 87991, 22311, 47631, 65030, 29785, 24927, 94563, 81854, 58878]","[22311, 57669, 63796, 91571, 64950, 98107, 89381, 99402, 59553, 94563]","[57669, 22311, 63796, 58878, 91571, 94563, 99402, 95975, 64950, 98107]","[18358, 29785, 91571, 31406, 6106, 49898, 85315, 63796, 57669, 25058]"
4009,4,"[17128, 83047, 85315, 49406, 64794, 49898, 80477, 81854, 57669, 72164]","[25043, 6106, 89128, 72164, 85315, 91571, 80477, 81854, 94563, 58878]","[72164, 85860, 59553, 11579, 81854, 49898, 57669, 94563, 64950, 85315]","[72164, 83047, 85315, 64950, 99402, 49898, 94563, 81854, 57669, 91571]","[64950, 83047, 17128, 81854, 72164, 63796, 85315, 29785, 57669, 94563]","[64950, 72164, 49898, 81854, 59553, 31406, 94563, 85315, 89128, 11579]","[64950, 63796, 42620, 29785, 80477, 99402, 22311, 81854, 72164, 65030]","[21506, 64950, 57669, 83047, 89128, 29785, 94563, 85315, 13441, 99402]","[86912, 54615, 5602, 24927, 11579, 49406, 31406, 64794, 17128, 95975]"
4010,4,"[86912, 54615, 64794, 29785, 85860, 46512, 49406, 42619, 25043, 65030]","[21506, 95975, 83047, 63796, 91163, 64794, 89381, 42619, 31406, 89128]","[54615, 89128, 29785, 64950, 65030, 94563, 58878, 89381, 42619, 22311]","[54615, 86912, 91571, 99402, 42619, 63796, 46435, 29785, 95063, 18358]","[29785, 95975, 54615, 86912, 22311, 63796, 17128, 85315, 64950, 38612]","[85315, 5602, 54615, 29785, 94563, 86912, 89128, 34723, 95975, 22311]","[95975, 29785, 49898, 85860, 64950, 63796, 83047, 86912, 17128, 10880]","[49898, 54615, 17128, 95975, 63796, 86912, 29785, 65030, 85315, 22311]","[46435, 10880, 42619, 5602, 92785, 64794, 25058, 21506, 99402, 6106]"
4011,4,"[98107, 24927, 10880, 86912, 42620, 47631, 49406, 22311, 64794, 46512]","[98107, 46512, 34723, 29785, 64950, 49898, 13441, 85860, 58878, 5602]","[49406, 72164, 87991, 64794, 8981, 58878, 11579, 5602, 6106, 13441]","[98107, 87991, 72164, 49406, 89381, 13441, 46435, 63796, 57669, 10880]","[13441, 64794, 6106, 72164, 98107, 85860, 47631, 46435, 10880, 11579]","[72164, 89381, 49406, 29785, 46435, 94563, 10880, 83047, 58878, 87991]","[13441, 6106, 64794, 85860, 98107, 24927, 47631, 81854, 72164, 10880]","[13441, 64794, 72164, 95975, 85860, 46435, 6106, 47631, 46512, 91163]","[42619, 86912, 99402, 46512, 25058, 6106, 49898, 94563, 5602, 64794]"
