user_id,item_30770,item_49901,item_92557,item_89262,item_49018,item_27577,item_10498,item_66905,item_91589,item_45373,item_73102,item_90995,item_70099,item_34040,item_75753,item_91024,item_84338,item_82793,item_92219,item_50317,item_9645,item_55428,item_96342,item_53352,item_94932,groupId
user_88016,10,7,35,4,15,30,82,63,24,4,68,17,49,83,48,6,24,99,8,57,65,57,59,65,21,1
user_70078,72,6,14,10,13,65,86,12,11,17,44,74,39,57,66,99,80,42,48,33,32,15,35,35,11,1
user_15767,28,57,91,52,5,3,62,14,55,13,22,52,32,2,78,66,56,16,78,67,32,65,80,66,89,1
user_95481,15,95,51,36,100,74,6,81,46,55,13,7,94,68,89,91,92,96,31,94,85,5,28,24,69,1
user_24100,67,83,81,49,55,6,19,50,88,18,89,53,16,38,35,43,32,41,42,4,75,95,58,78,17,2
user_21821,56,22,74,42,95,85,12,34,41,65,52,7,5,35,99,85,15,93,91,9,14,7,53,49,17,2
user_57749,29,14,85,11,79,100,67,76,74,50,100,22,29,55,89,74,92,64,81,21,21,93,16,15,95,2
user_24927,10,84,31,41,90,46,85,48,21,24,56,53,70,89,83,17,81,62,89,63,87,41,30,87,45,2
user_19773,29,61,8,48,76,23,49,29,3,29,97,12,18,37,47,56,57,59,23,62,2,47,24,78,17,3
user_13887,83,46,26,3,58,76,55,32,42,90,78,17,27,6,46,6,12,77,100,65,16,2,26,31,69,3
user_82962,29,57,53,83,43,91,98,41,72,45,24,43,79,88,15,19,50,64,61,53,76,49,22,50,17,3
user_16359,34,82,40,5,60,99,4,57,32,46,14,41,98,59,74,35,46,78,2,38,73,36,36,80,50,3
user_37366,75,7,52,99,1,96,81,56,91,36,80,53,35,31,69,23,51,52,38,61,66,13,40,54,40,4
user_99393,35,93,96,6,78,28,51,34,45,74,64,35,98,21,96,93,45,97,46,54,58,72,55,62,92,4
user_61858,83,90,16,43,18,62,4,55,81,75,100,56,64,3,20,31,28,67,63,82,10,68,35,53,16,4
user_68681,71,35,98,94,25,35,11,58,96,44,12,21,2,68,26,76,17,62,74,71,4,1,82,16,43,4
user_5303,65,36,19,87,84,76,97,70,83,23,70,72,16,94,50,30,15,1,11,84,50,61,90,95,30,5
user_76911,57,89,57,44,56,47,97,93,5,47,81,96,43,29,99,79,85,84,78,18,64,12,100,95,46,5
user_29026,75,3,18,3,11,57,4,95,7,99,51,92,87,8,38,41,38,32,52,33,65,49,38,65,23,5
user_36621,4,47,15,20,3,30,17,91,95,70,72,96,82,32,70,66,71,93,98,89,2,13,24,71,58,5
user_34125,20,55,3,42,49,43,72,28,21,80,28,76,60,80,66,83,71,88,10,67,41,93,21,40,22,6
user_92918,63,87,88,34,50,44,90,22,96,34,100,22,2,92,71,20,73,40,39,51,49,68,51,77,87,6
