user_id,item_21506,item_95975,item_17128,item_15353,item_98107,item_24927,item_10880,item_86912,item_32029,item_42620,item_92785,item_47631,item_87991,item_49406,item_22311,item_25058,item_57669,item_54615,item_72164,item_91571,item_85315,item_18358,item_83047,item_63796,item_91163,item_64794,item_89381,item_42619,item_31406,item_89128,item_46435,item_38612,item_6106,item_46512,item_25043,item_34723,item_29785,item_64950,item_99402,item_49898,item_13441,item_80477,item_81854,item_65030,item_94563,item_85860,item_58878,item_59553,item_5602,item_11579,groupId
user_1292,85,10,7,35,4,15,30,82,63,24,4,68,17,49,83,48,6,24,99,8,57,65,57,59,65,21,68,72,6,14,10,13,65,86,12,11,17,44,74,39,57,66,99,80,42,48,33,32,15,35,4001
user_35931,11,15,28,57,91,52,5,3,62,14,55,13,22,52,32,2,78,66,56,16,78,67,32,65,80,66,89,93,15,95,51,36,100,74,6,81,46,55,13,7,94,68,89,91,92,96,31,94,85,5,4001
user_29449,24,69,30,48,90,87,47,26,10,65,89,44,71,88,68,33,74,88,82,80,90,49,9,54,94,52,92,37,23,67,83,81,49,55,6,19,50,88,18,89,53,16,38,35,43,32,41,42,4,75,4001
user_97587,58,78,17,21,56,22,74,42,95,85,12,34,41,65,52,7,5,35,99,85,15,93,91,9,14,7,53,49,17,56,29,14,85,11,79,100,67,76,74,50,100,22,29,55,89,74,92,64,81,21,4001
user_94485,65,37,74,30,18,19,29,61,8,48,76,23,49,29,3,29,97,12,18,37,47,56,57,59,23,62,2,47,24,78,17,72,13,83,46,26,3,58,76,55,32,42,90,78,17,27,6,46,6,12,4002
user_79785,100,65,16,2,26,31,69,81,29,57,53,83,43,91,98,41,72,45,24,43,79,88,15,19,50,64,61,53,76,49,22,50,17,15,34,82,40,5,60,99,4,57,32,46,14,41,98,59,74,35,4002
user_47612,78,2,38,73,36,36,80,50,28,37,40,8,9,20,11,58,12,24,54,88,4,5,85,85,18,68,15,39,17,23,6,35,85,72,66,100,55,36,75,7,52,99,1,96,81,56,91,36,80,53,4002
user_32207,69,23,51,52,38,61,66,13,40,54,40,97,35,93,96,6,78,28,51,34,45,74,64,35,98,21,96,93,45,97,46,54,58,72,55,62,92,60,83,90,16,43,18,62,4,55,81,75,100,56,4002
user_69028,45,25,81,28,63,43,82,66,79,98,97,1,5,65,36,19,87,84,76,97,70,83,23,70,72,16,94,50,30,15,1,11,84,50,61,90,95,30,75,57,89,57,44,56,47,97,93,5,47,81,4003
user_98931,43,29,99,79,85,84,78,18,64,12,100,95,46,28,75,3,18,3,11,57,4,95,7,99,51,92,87,8,38,41,38,32,52,33,65,49,38,65,23,99,73,35,4,47,15,20,3,30,17,91,4003
user_97398,70,72,96,82,32,70,66,71,93,98,89,2,13,24,71,58,49,55,10,67,59,71,39,84,20,63,51,94,83,80,53,52,57,48,27,99,57,88,18,16,16,95,50,33,20,55,3,42,49,43,4003
user_73954,28,21,80,28,76,60,80,66,83,71,88,10,67,41,93,21,40,22,90,63,87,88,34,50,44,90,22,96,34,100,22,2,92,71,20,73,40,39,51,49,68,51,77,87,96,76,82,55,94,80,4003
user_82048,26,77,71,13,20,22,79,81,72,7,15,42,81,20,23,18,23,96,32,46,46,18,32,39,30,83,97,36,84,67,79,90,75,84,16,22,10,14,46,78,17,89,14,61,51,66,27,72,99,69,4004
user_11354,100,94,27,69,40,65,40,59,51,9,15,96,33,80,70,99,59,48,36,22,21,12,46,86,43,100,47,35,15,74,30,54,66,76,1,19,76,47,16,20,58,14,45,57,26,81,59,32,10,21,4004
user_47052,72,54,79,19,18,46,67,11,34,37,1,34,62,32,59,79,25,88,37,2,33,6,49,24,88,39,94,3,20,46,97,68,25,56,15,55,54,61,2,17,10,26,46,59,8,55,62,25,59,74,4004
user_49285,1,39,13,88,30,10,35,13,98,76,56,15,83,15,41,28,42,32,94,99,86,52,38,26,42,2,3,71,97,81,38,61,100,47,21,16,54,50,75,79,9,98,63,22,97,77,47,36,34,9,4004
user_86048,45,67,98,29,65,78,97,92,97,85,54,33,32,9,6,24,25,1,21,74,43,48,60,54,97,85,40,42,89,81,4,73,43,63,6,1,75,89,74,55,63,98,6,45,71,63,88,90,90,71,4005
user_18387,34,17,55,31,83,6,69,77,95,3,19,38,36,32,87,90,72,17,82,9,53,28,56,3,62,75,6,24,74,34,2,30,44,26,74,59,53,32,38,25,71,100,78,75,80,23,25,34,16,87,4005
user_78842,89,42,50,64,49,23,75,22,59,65,62,21,22,92,12,5,11,94,25,67,68,13,9,48,97,98,44,90,79,57,34,84,97,75,86,14,14,80,42,81,41,70,92,93,36,91,46,38,91,94,4005
user_11009,44,72,35,88,22,12,16,45,37,23,54,20,40,69,92,75,60,7,42,33,18,79,36,21,29,69,6,13,93,74,46,62,65,17,91,41,81,3,63,36,14,34,55,33,97,84,6,63,70,75,4005
user_5201,78,100,71,50,72,38,38,86,77,4,53,47,94,52,6,64,33,76,11,52,97,87,22,56,80,16,42,91,99,24,21,65,26,93,62,96,11,66,70,6,64,80,30,3,63,12,51,48,80,81,4006
