user_id,item_18154,item_27769,item_6453,item_47239,item_6557,item_13201,item_79785,item_67012,item_16798,item_2649,item_26663,item_31852,item_71463,item_82962,item_29964,item_58379,item_55080,item_85470,item_44838,item_94019,item_42375,item_73848,item_46658,item_24690,item_44580,item_81206,item_90598,item_16111,item_20066,item_51341,item_66219,item_63336,item_55103,item_78408,item_50786,item_23106,item_51576,item_17602,item_16359,item_35508,item_84452,item_41330,item_5931,item_62344,item_4752,item_58398,item_32805,item_47530,item_15051,item_42378,item_61135,item_75776,item_35983,item_47612,item_80552,item_2173,item_39238,item_75516,item_36967,item_36878,item_82177,item_51664,item_28867,item_37966,item_41888,item_9115,item_9390,item_21333,item_11624,item_59952,item_13193,item_25125,item_55990,item_90364,item_4403,groupId
user_4856,23,1,85,10,7,35,4,15,30,82,63,24,4,68,17,49,83,48,6,24,99,8,57,65,57,59,65,21,68,72,6,14,10,13,65,86,12,11,17,44,74,39,57,66,99,80,42,48,33,32,15,35,35,11,15,28,57,91,52,5,3,62,14,55,13,22,52,32,2,78,66,56,16,78,67,5001
user_33653,65,80,66,89,93,15,95,51,36,100,74,6,81,46,55,13,7,94,68,89,91,92,96,31,94,85,5,28,24,69,30,48,90,87,47,26,10,65,89,44,71,88,68,33,74,88,82,80,90,49,9,54,94,52,92,37,23,67,83,81,49,55,6,19,50,88,18,89,53,16,38,35,43,32,41,5001
user_43353,4,75,95,58,78,17,21,56,22,74,42,95,85,12,34,41,65,52,7,5,35,99,85,15,93,91,9,14,7,53,49,17,56,29,14,85,11,79,100,67,76,74,50,100,22,29,55,89,74,92,64,81,21,21,93,16,15,95,24,10,84,31,41,90,46,85,48,21,24,56,53,70,89,83,17,5001
user_83047,62,89,63,87,41,30,87,45,37,5,45,24,33,29,63,97,48,13,78,79,63,92,83,57,58,5,11,99,31,97,92,65,37,74,30,18,19,29,61,8,48,76,23,49,29,3,29,97,12,18,37,47,56,57,59,23,62,2,47,24,78,17,72,13,83,46,26,3,58,76,55,32,42,90,78,5001
user_87972,85,18,68,15,39,17,23,6,35,85,72,66,100,55,36,75,7,52,99,1,96,81,56,91,36,80,53,35,31,69,23,51,52,38,61,66,13,40,54,40,97,35,93,96,6,78,28,51,34,45,74,64,35,98,21,96,93,45,97,46,54,58,72,55,62,92,60,83,90,16,43,18,62,4,55,5002
user_83593,75,100,56,64,3,20,31,28,67,63,82,10,68,35,53,16,67,71,35,98,94,25,35,11,58,96,44,12,21,2,68,26,76,17,62,74,71,4,1,82,16,43,3,5,74,95,22,94,43,38,15,39,42,21,69,14,67,45,25,81,28,63,43,82,66,79,98,97,1,5,65,36,19,87,84,5002
user_78059,97,70,83,23,70,72,16,94,50,30,15,1,11,84,50,61,90,95,30,75,57,89,57,44,56,47,97,93,5,47,81,96,43,29,99,79,85,84,78,18,64,12,100,95,46,28,75,3,18,3,11,57,4,95,7,99,51,92,87,8,38,41,38,32,52,33,65,49,38,65,23,99,73,35,4,5002
user_48117,15,20,3,30,17,91,95,70,72,96,82,32,70,66,71,93,98,89,2,13,24,71,58,49,55,10,67,59,71,39,84,20,63,51,94,83,80,53,52,57,48,27,99,57,88,18,16,16,95,50,33,20,55,3,42,49,43,72,28,21,80,28,76,60,80,66,83,71,88,10,67,41,93,21,40,5002
user_54625,24,12,55,49,59,4,80,26,77,71,13,20,22,79,81,72,7,15,42,81,20,23,18,23,96,32,46,46,18,32,39,30,83,97,36,84,67,79,90,75,84,16,22,10,14,46,78,17,89,14,61,51,66,27,72,99,69,11,100,94,27,69,40,65,40,59,51,9,15,96,33,80,70,99,59,5003
user_49492,36,22,21,12,46,86,43,100,47,35,15,74,30,54,66,76,1,19,76,47,16,20,58,14,45,57,26,81,59,32,10,21,45,72,54,79,19,18,46,67,11,34,37,1,34,62,32,59,79,25,88,37,2,33,6,49,24,88,39,94,3,20,46,97,68,25,56,15,55,54,61,2,17,10,26,5003
